date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/13/2016,South Carolina,81,Holy Cross,49,12,17.31,17.8,18.51,17.45,18.42,13.68,13,17.33,17,3.1,24.25,19.5,0,,8.16,,,,,,,18.35,,,
11/13/2016,South Dakota,78,Bowling Green,72,2.5,1.39,2.37,4.29,1.73,3.42,-11.23,2,2.34,3,4.44,1.92,2.2,0,,2.46,,,,,,,2.77,,,
11/13/2016,UC Davis,89,Northern Arizona,76,5,6.44,6.27,8.51,5.31,7.96,3.34,5,3.33,10,2.54,10.16,8.4,1,,0.59,,,,,,,6.95,,,
11/13/2016,UCLA,102,CS Northridge,87,19.5,19.34,18.83,17.59,19.82,17.56,24.94,19.5,21.28,18,2.35,19.86,16.9,0,,21.11,,,,,,,16.9,,,
11/13/2016,USC,82,Nebraska Omaha,72,12.5,11.87,9.38,8.77,8.9,10.16,16.06,14,11.63,13,2.74,15.79,13.2,0,,9.77,,,,,,,13.92,,,
11/13/2016,Washington,90,Yale,98,15,6.37,9.01,8.93,9.02,8.98,4.16,9.5,6.34,1,3.15,4.2,2.7,0,,12.18,,,,,,,3.57,,,
11/13/2016,Wichita St.,92,Long Beach St.,55,10,15.17,14.73,13.29,15.89,13.34,18.83,12.5,15.54,20,2.44,16.45,14.1,0,,12.2,,,,,,,12.55,,,
11/14/2016,Arkansas,90,Southern Illinois,65,17,12.14,14.03,16.05,13.43,15.04,9.4,14,14.29,10,2.54,12.9,8.6,0,,9.98,,,,,,,9.84,,,
11/14/2016,Auburn,83,Georgia St.,65,7,6.57,8.85,8.9,9.01,8.62,8.5,6,1.02,0.01,3.68,9.76,2.9,0,,10.37,,,,,,,4.34,,,
11/14/2016,BYU,82,Princeton,73,4.5,6.18,5.01,4.99,5.01,5.01,4.3,3,7.77,9,2.11,9.42,6.6,0,,4.28,,,,,,,6.56,,,
11/14/2016,Cincinnati,74,Albany-NY,51,16,14.78,17.18,15.13,17.44,16.76,13.74,16,16.31,12,2,15.59,12,0,,15.05,,,,,,,11.4,,,
11/14/2016,Coastal Carolina,64,Charleston,71,-4.5,-0.87,0.52,-0.27,0.8,0.06,-8.17,-4.5,-0.56,2,2.99,-1.41,-0.2,0,,-2.18,,,,,,,-0.14,,,
11/14/2016,Colorado,67,Seattle,55,22,23.64,23.34,22.1,24.1,22.29,29.16,20.5,23.18,25,2.96,28.68,20.9,0,,18.16,,,,,,,23.15,,,
11/14/2016,Connecticut,61,Northeastern,64,13,10.6,9.66,6.75,9.62,9.74,13.35,13.5,12.21,15,3.26,4.79,13.2,0,,11.52,,,,,,,10.8,,,
11/14/2016,East Tennessee St.,107,Detroit,78,15,7.91,10.19,8.87,11.81,7.85,1.77,11.5,5.06,9,4.16,16.01,4.2,0,,7.9,,,,,,,4.34,,,
11/14/2016,Eastern Kentucky,69,NC Wilmington,78,-8,-3.74,-2.05,-1.05,-2.16,-1.9,-12.54,-7,-3.7,-4,3.45,-1.84,-4.7,0,,-4.28,,,,,,,-2.87,,,
11/14/2016,Elon,95,NC Charlotte,100,3.5,3.92,3.42,3.42,3.42,3.42,5.32,4,4.81,5,0.78,3.13,4,0,,5.16,,,,,,,2,,,
11/14/2016,Gonzaga,69,San Diego St.,48,11,7.8,8.16,7.16,8.64,7.22,1.18,8.5,9.14,11,2.56,8.91,7.8,0,,8.33,,,,,,,8.29,,,
11/14/2016,Louisville,91,William & Mary,58,17.5,18.31,20.23,19.58,20.57,19.74,17.95,16.5,18.25,15,2.51,23.3,15.8,0,,14.2,,,,,,,16.81,,,
11/14/2016,Marquette,81,Howard,49,26,23.01,20.75,21.49,21.23,20.13,24.57,24,24.62,24,3.61,32.65,21.9,0,,17.18,,,,,,,24.58,,,
11/14/2016,Minnesota,84,Texas Arlington,67,1.5,4.01,6.53,6.06,6.77,6.13,1.57,2,8.98,-3,4.18,5.59,-3,0,,6.05,,,,,,,2.45,,,
11/14/2016,Mississippi,90,Massachusetts,88,11,8.6,6.62,7.82,5.86,8.01,8.59,8.5,10.82,11,1.89,5.7,9.9,0,,10.82,,,,,,,9.46,,,
