"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linemass","linegreen","linedunk","lineargh","linesauce","linemarkov","linerpi"
"12/02/2003","Northern Iowa",75,"Louisiana Tech",72,7.0,3.81,1.09,0.72,1.31,2.67,12.81,4.26,".",".",".",".",".","."
"12/02/2003","Iona",77,"Loyola-Maryland",60,20.5,21.67,18.52,18.35,18.69,23.80,24.64,25.99,".",".",".",".",".","."
"12/02/2003","Michigan",68,"North Carolina St.",61,5.5,5.91,6.66,6.08,8.22,4.65,4.58,5.29,".",".",".",".",".","."
"12/02/2003","Oregon",62,"Portland St.",55,20.0,21.34,16.34,16.71,16.36,24.78,26.49,27.33,".",".",".",".",".","."
"12/02/2003","West Virginia",66,"Saint Louis",57,5.0,5.77,6.70,7.37,6.14,3.90,7.43,3.09,".",".",".",".",".","."
"12/02/2003","St. Joseph's PA",84,"San Francisco",52,19.0,18.11,16.99,17.04,17.40,19.27,19.67,18.28,".",".",".",".",".","."
"12/02/2003","Providence",84,"South Florida",60,12.5,7.10,4.33,4.78,4.05,4.40,16.67,8.36,".",".",".",".",".","."
"12/02/2003","Tennessee",108,"Texas A&M",84,10.0,10.07,8.60,9.94,7.45,12.65,13.24,8.52,".",".",".",".",".","."
"12/02/2003","Georgia",81,"Towson",51,24.0,24.55,16.42,14.44,18.74,26.82,38.94,31.94,".",".",".",".",".","."
"12/02/2003","Manhattan",57,"Wichita St.",74,6.0,4.40,2.31,1.85,2.77,5.63,6.99,6.88,".",".",".",".",".","."
"12/02/2003","Maryland",73,"Wisconsin",67,3.5,1.73,1.92,0.86,2.96,5.19,-1.97,1.45,".",".",".",".",".","."
"12/02/2003","Iowa",82,"Wisconsin-Green Bay",56,16.0,17.64,15.38,17.45,13.55,18.42,23.55,17.48,".",".",".",".",".","."
"12/03/2003","Nebraska",66,"Arizona St.",60,2.0,1.45,2.06,1.25,2.81,2.72,0.91,-1.04,".",".",".",".",".","."
"12/03/2003","Buffalo",82,"Bowling Green",64,-3.0,-5.59,-6.55,-10.58,-3.55,-5.74,-2.85,-4.26,".",".",".",".",".","."
"12/03/2003","Central Michigan",65,"Bradley",71,-1.5,0.97,0.22,-4.04,3.92,-5.80,8.63,2.89,".",".",".",".",".","."
"12/03/2003","Ball St.",63,"Butler",61,2.0,3.15,5.29,5.33,5.27,4.50,-2.49,1.02,".",".",".",".",".","."
"12/03/2003","Loyola Marymount",".","Cal Poly SLO",".",2.0,1.52,1.19,0.87,1.37,2.78,1.38,1.54,".",".",".",".",".","."
"12/03/2003","UCLA",84,"Cal Riverside",70,11.5,13.42,10.27,12.13,8.52,13.09,23.69,12.84,".",".",".",".",".","."
"12/03/2003","Purdue",76,"Clemson",64,14.5,15.25,13.16,15.33,11.62,18.51,15.92,16.97,".",".",".",".",".","."
"12/03/2003","Penn St.",73,"Cleveland St.",62,3.5,3.51,1.98,2.00,1.95,3.31,5.97,5.86,".",".",".",".",".","."
"12/03/2003","Michigan St.",50,"Duke",72,3.0,4.51,4.72,5.03,4.36,4.02,4.41,4.50,".",".",".",".",".","."
"12/03/2003","NC Greensboro",73,"Furman",65,9.5,9.15,12.00,13.73,10.47,10.58,3.07,5.06,".",".",".",".",".","."
"12/03/2003","Appalachian St.",80,"George Washington",77,-5.0,-8.02,-7.47,-12.42,-3.92,-8.78,-8.78,-6.73,".",".",".",".",".","."
"12/03/2003","Ohio St.",53,"Georgia Tech",73,-4.5,-10.24,-6.70,-5.14,-8.06,-18.83,-10.08,-12.65,".",".",".",".",".","."
"12/03/2003","Washington",62,"Gonzaga",86,-5.5,-4.73,-3.72,-2.28,-5.39,-5.95,-4.98,-6.09,".",".",".",".",".","."
"12/03/2003","La Salle",79,"James Madison",71,10.0,3.36,2.43,-1.17,4.66,3.56,5.69,4.99,".",".",".",".",".","."
"12/03/2003","Dayton",67,"Miami-Ohio",61,10.5,15.82,14.19,14.37,14.27,16.10,18.22,17.76,".",".",".",".",".","."
"12/03/2003","Virginia",86,"Minnesota",78,5.5,6.96,5.85,5.73,5.99,8.94,8.65,6.58,".",".",".",".",".","."
"12/03/2003","Florida St.",66,"Mississippi",60,12.0,10.34,7.67,4.95,11.26,13.51,13.43,11.24,".",".",".",".",".","."
"12/03/2003","Denver",55,"Montana St.",53,9.5,1.80,-0.68,-3.52,1.80,-0.91,9.03,5.08,".",".",".",".",".","."
"12/03/2003","TCU",67,"Murray St.",73,-1.0,0.09,2.08,3.30,-0.08,-2.12,-0.29,-2.38,".",".",".",".",".","."
"12/03/2003","Alabama",79,"NC Charlotte",72,0.0,3.07,2.09,3.60,0.17,3.45,5.10,3.99,".",".",".",".",".","."
