date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/9/2018,LIU Brooklyn,83,Brown,81,1,2.52,1.06,1.23,1.05,1.07,-0.28,1,1.19,6,2.59,3.05,4.2,0,-1,7.17,,,,,1.02,,2.81,7.45,,1.8
11/9/2018,LSU,97,NC Greensboro,91,10,8.06,11.02,8.32,11.79,8.56,3.55,8.5,12.98,6,4.8,15.88,5.2,0,-0.3,7.6,,,,,13.01,,6.84,-0.68,,11.1
11/9/2018,Loyola-Chicago,58,Furman,60,8.5,10.54,12.04,10.62,12.51,10.63,14.65,9.5,7.97,8,3.47,13.72,7.5,0,6.6,3.92,,,,,10.64,,11.57,17.77,,9.9
11/9/2018,Massachusetts,104,New Hampshire,75,11.5,9.2,11.71,12.87,11.32,13.09,6.34,11.5,6.45,5,3.09,9.08,9.5,0,2.5,12.75,,,,,10.33,,9.26,7.91,,9.9
11/9/2018,Miami-Florida,83,Lehigh,62,16,12.7,9.21,3.88,9.07,10.83,7.9,16,14.26,15,4.69,11.19,17.9,0,13.1,15.62,,,,,7.59,,17.37,21.04,,16.5
11/9/2018,Mississippi St.,95,Austin Peay,67,19,17.05,17.2,16.07,17.29,17.14,18.36,18.5,16.52,15,2.65,17.22,14.3,0,14.5,13.4,,,,,22.46,,16.32,22.87,,17.1
11/9/2018,Montana,81,Georgia St.,74,7,3.99,4.28,1.06,4.62,3.57,4.72,5.5,2.84,5,2.62,2.53,7.5,0,-2.7,2.53,,,,,6.18,,3.82,7.55,,6.3
11/9/2018,NC Wilmington,59,Stanford,72,-4.5,-6.08,-6.06,-10.22,-5.86,-6,-5.48,-3,-4.23,-6,4.89,-14.98,-6.3,0,-3,5.53,,,,,-10.23,,-5.11,-12.58,,-0.6
11/9/2018,Navy,57,Maryland,78,-14,-12.97,-15.51,-16.42,-15.29,-16.57,-17.27,-13.5,-13.18,-8,3.17,-13.78,-9.9,0,-8.8,-7.89,,,,,-14.76,,-13.44,-11.03,,-12.7
11/9/2018,Nevada,83,Pacific,61,18.5,18.22,16.28,15.2,16.54,15.47,25.26,20,19.35,16,3.67,21.91,20.1,0,10.8,16.94,,,,,20.39,,15.67,21.82,,21.6
11/9/2018,New Mexico St.,96,UTEP,69,13.5,14.46,17.07,17.11,17.1,16.95,5.57,13.5,12.69,16,5.35,18.15,15,0,9.7,4.96,,,,,13.43,,14.64,26.84,,11.7
11/9/2018,Northern Illinois,85,Northern Kentucky,88,-4.5,-4.05,-0.98,-0.64,-1,-0.96,2.23,-4,-6.97,-9,4.99,-7.49,-4.8,0,-15.8,1.66,,,,,-1.56,,-3.4,-10.42,,-1.6
11/9/2018,Oakland,86,Toledo,87,-5.5,-0.8,1.32,1.47,1.31,1.33,-12.98,-4.5,3.18,1,4.2,0.32,-0.5,0,4.1,-1.78,,,,,-5.6,,0.48,-3.75,,-1.9
11/9/2018,Oregon,81,Eastern Washington,47,23,17.43,22.53,20.21,23.16,20.55,13.97,19,18.45,13,4.53,25.88,15.4,0,12,11.61,,,,,18.93,,13.32,13.24,,19.2
11/9/2018,Penn St.,87,North Florida,72,22.5,22.45,17.28,18.09,17,18.36,27.19,22.5,15.7,29,6.59,24.8,19.8,0,30.9,15.02,,,,,22.92,,26.46,37.26,,16.9
11/9/2018,Pennsylvania,92,Rice,76,13,16.94,15.31,17.73,15.1,15.62,29.84,15,8.93,20,5.75,10.12,13.6,0,16.5,18.22,,,,,16.76,,9.8,26.72,,19.8
11/9/2018,Pittsburgh,94,VMI,55,13,14.82,19.48,19.28,19.49,19.47,13.7,13,14.35,9,3.81,18.73,11,0,11.5,10.76,,,,,14.46,,15.49,9.89,,15.7
11/9/2018,Providence,80,Wichita St.,83,7,3.8,9.53,18.25,8.79,10.75,1.63,4,-1.57,0.01,5.72,1.85,1.7,1,2.2,3.36,,,,,2.79,,-1.13,-3.81,,2.6
11/9/2018,Radford,88,Illinois-Chicago,78,4.5,4.41,5.45,6.19,5.38,5.6,6.26,4.5,4.88,4,2.95,3.42,4.2,0,-4.8,8.06,,,,,3.84,,2.15,4.41,,7.1
11/9/2018,Richmond,58,Longwood,63,16.5,18.59,18.52,17.29,18.62,18.45,19.04,16.5,17.5,15,2.75,20.96,14.5,0,16.5,20.4,,,,,18.73,,15.87,23.79,,23.6
11/9/2018,Rutgers,90,Fairleigh Dickinson,55,12.5,13.54,11.4,10.74,11.45,11.36,15.04,12.5,11.07,14,3.3,17.18,13.5,0,19.6,6.35,,,,,16.78,,15.96,15.63,,13
11/9/2018,SW Missouri St.,74,Robert Morris,60,10.5,13.89,15.79,16.01,16.43,13.33,7.72,10.5,12.58,14,3.51,22.82,11.2,0,14.2,8.9,,,,,12.86,,14,15.75,,12.7
11/9/2018,Samford,92,Jacksonville St.,72,-7.5,-5.4,-3.35,-1.71,-3.49,-3.23,-20.16,-9,-1.62,-5,5.03,-2.17,-6,0,-4.1,-2.63,,,,,-8.67,,-3.41,-12.73,,-2.7
11/9/2018,Santa Clara,64,Prairie View,81,9.5,7.25,7.92,7.54,7.95,7.9,12.27,9.5,9.07,5,2.32,8.11,5.3,0,2.1,7.63,,,,,7.39,,4.43,8.28,,7.8
11/9/2018,South Carolina,81,Stony Brook,83,16,14.17,12.21,9.29,12.18,13.27,14.36,16,11.91,12,3,13.52,14.9,0,14.2,15.73,,,,,17.89,,16.26,21.95,,12.8
11/9/2018,St. Francis (PA),80,Morgan St.,60,13.5,10.27,9.33,9.22,8.96,11.23,14.7,13.5,9.71,10,3.84,5.12,10.7,0,0.7,15.92,,,,,13.25,,8.5,13.86,,12.9
11/9/2018,St. John's,84,Bowling Green,80,18.5,18.27,19.9,19.4,19.78,20.53,17.09,18,14.83,18,2.29,17.99,14.5,0,21.6,19.85,,,,,16.46,,14.93,20.87,,18.3
11/9/2018,St. Joseph's PA,79,Old Dominion,64,3,0.76,3.42,3.12,3.25,4.14,11.22,1.5,-0.43,2,4.52,-4.91,-2.6,0,-5.6,4.58,,,,,-1.76,,0.47,-5.36,,-0.2
11/9/2018,Temple,83,Detroit,67,18.5,19.98,19.63,22.12,19.19,20.99,24.41,20,15.44,19,2.92,23.14,16.5,0,14.3,20.36,,,,,21.7,,18.34,22.81,,21.8
11/9/2018,Tennessee,87,Louisiana-Lafayette,65,16,14.88,17.4,16.25,17.49,17.34,16.64,16,13.72,12,2.66,13.05,13.4,0,8.9,14.58,,,,,17.77,,12.97,18.11,,13.6
